text,label
Your Zoom account requires immediate verification. Click below to confirm your identity: http://1o3teho9ke.xyz/verify?id=mf77o5lyk704,1
Your package could not be delivered due to an incorrect address. Update your shipping info: http://by1nyhth5g.ml/verify?id=newqafqhmwcg,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://4neu8byxgd.ml/verify?id=19kbxk65nrvi,1
Act now! Limited time offer - get a free $12426 gift card. Click to claim: http://1e23cm79nb.xyz/verify?id=drayts1n4ywr,1
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://x0c5t7uik5.xyz/verify?id=sahtbvejeoxi,1
"Hi Alice, your monthly cloud usage report is ready. Total spend: $163.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://2i0gbpj7zk.xyz/verify?id=kcdqmhj6v8ry,1
"Dear Emily, your password was successfully changed. If this was not you, contact IT support.  Thanks.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://xs7xck2sc7.tk/verify?id=mavfkl2irqok",1
"Dear Emma, your order #915051 has been shipped and will arrive by Thursday.  Thanks.",0
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://ub40rasu7a.ml/verify?id=rw6d711kb92u,1
Your package could not be delivered due to an incorrect address. Update your shipping info: http://8pglehbfna.ml/verify?id=jrrr0kpwdc3x,1
"Dear Emma, thank you for your purchase. Your invoice #208239 is attached for your records.",0
Your Zoom account requires immediate verification. Click below to confirm your identity: http://mx8165ebhl.tk/verify?id=49cffvdx44al,1
"Dear Michael, your order #629516 has been shipped and will arrive by Tuesday.",0
"Dear Alice, your order #970824 has been shipped and will arrive by Friday. — Thanks.",0
"Dear John, thank you for your purchase. Your invoice #468612 is attached for your records.",0
Wire transfer of $21408 is pending your approval. Review and authorize the transaction: http://ro9zh5d3vu.tk/verify?id=hyelpuv7x4ob,1
Your Zoom account requires immediate verification. Click below to confirm your identity: http://zthr52v2wt.ml/verify?id=ko4xvj3bbxkf,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://i6eoxtd9tn.xyz/verify?id=t4jk1slgtcva,1
Your Zoom account requires immediate verification. Click below to confirm your identity: http://3j2y2v3sne.xyz/verify?id=3k08rgnt2gzs,1
"Hi John, your monthly cloud usage report is ready. Total spend: $18.",0
Your PayPal account has been limited. Please update your information to restore access: http://t9o1bvvv70.ml/verify?id=vq1rk8zszc0y,1
"Dear David, your order #360665 has been shipped and will arrive by Monday.",0
Your package could not be delivered due to an incorrect address. Update your shipping info: http://mfl8zsmb05.xyz/verify?id=x08yifomyazf,1
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://w4s72sgkup.xyz/verify?id=twp11afgr43o",1
RE: URGENT Your package could not be delivered due to an incorrect address. Update your shipping info: http://5rb02bhmfd.ml/verify?id=gojy39hvfdmo,1
Wire transfer of $1102 is pending your approval. Review and authorize the transaction: http://o2qyxvnaaq.tk/verify?id=nhubz9o2c0yf,1
